"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"68e91dad83a31912dc28986d","ea57b988-ab25-4ecc-b680-9a4cbc7b1e30","PHYSICAL","new-products","alfa-romeo-4c","AutoArt ALFA ROMEO 4C GLOSS BLACK","<pre><code>Trademark: AutoArt<br>Brand: Alfa Romeo<br>Model: 4C<br>Scale: 1:18<br>Car Model Code: 70184<br>Manufacturer Code: 70184<br>Colour: Gloss Black<br>Material: Die-cast metal with plastic details<br>Year: 2013<br>EAN: Available on request</code></pre>","70184","","","","","","","","","","","","","210.00","10.00","No","Unlimited","","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/68d6a6c7ad50e42eaaa2008c/1760107949807-9V46D2QFE9DE9PCBJN4H/Untitled%2Bdesign%2B%252822%2529.png"
"68e91daec8d073245478c687","9f3a7430-5efe-49d8-9175-d5f519f2a9e8","PHYSICAL","pre-order","alpina-b4-gt-grey-2024-30587","ALPINA B4 GT GREY 2024 GT Spirit 1:18 Resinemodell (Türen, Motorhaube... nicht zu öffnen!)","<pre><code>Trademark: GT Spirit
Brand: ALPINA
Model: B4
Scale: 1:18
Car Model Code: 30587
Manufacturer Code: 30587
Colour: GREY
Material: Resin model (doors and hood do not open)
Year: 2024
EAN: Available on request
Expected Release: March 2026</code></pre>","30587","","","","","","","","","","","","","104.99","10.00","No","Unlimited","","Preorder, Release: March 2026","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/68d6a6c7ad50e42eaaa2008c/1760107951210-1CYT4K3UNMWSK82208CA/gt541nh.jpg"
"68e91db086b63e5941e1ca32","c3606114-a7db-4681-af35-59daa2654aff","PHYSICAL","pre-order","alpina-b6-28-alpina-blue-metallic-1992-118","ALPINA B6 2.8 Alpina Blue Metallic 1992 OttO mobile 1:18 Resinemodell (Türen, Motorhaube... nicht zu öffnen!)","<pre><code>Trademark: OttO mobile
Brand: ALPINA
Model: B6 2.8 Alpina
Scale: 1:18
Car Model Code: 30729
Manufacturer Code: 30729
Colour: Alpina Blue Metallic
Material: Resin model (doors and hood do not open)
Year: 1992
EAN: Available on request
Expected Release: January 2026</code></pre>","30729","","","","","","","","","","","","","84.99","10.00","No","Unlimited","","Preorder, Release: January 2026","0.0","0.0","0.0","0.0","Yes",""
"68e91db2f8ea5503718e8c82","811cc6aa-7d56-4c5a-b7e3-5604d642c2db","PHYSICAL","new-products","aston-martin-db5","SOLIDO ASTON MARTIN DB5","<pre><code>Trademark: SOLIDO<br>Brand: Aston Martin<br>Model: DB5 Silver Birch<br>Scale: 1:18<br>Car Model Code: S1807101<br>Manufacturer Code: S1807101<br>Colour: Silver Birch<br>Material: Die-cast metal with plastic details<br>Year: 1964<br>EAN: Available on request</code></pre>","S1807101","","","","","","","","","","","","","100.00","1.00","No","Unlimited","","On Sale","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/68d6a6c7ad50e42eaaa2008c/1760107955163-BL52Z0X7FW3Y70342O7O/aston-martin-db5-silver-birch-1964-01.jpg"
"68e91db486b63e5941e1ca37","41bcc465-4c1a-4cd9-95be-e4f0dd1404ec","PHYSICAL","pre-order","aston-martin-valiant-auric-gold-metallic-2024-30346","ASTON MARTIN VALIANT AURIC GOLD METALLIC 2024 GT Spirit 1:18 Resinemodell (Türen, Motorhaube... nicht zu öffnen!)","<pre><code>Trademark: GT Spirit
Brand: ASTON MARTIN
Model: VALIANT AURIC GOLD
Scale: 1:18
Car Model Code: 30346
Manufacturer Code: 30346
Colour: AURIC GOLD METALLIC
Material: Resin model (doors and hood do not open)
Year: 2024
EAN: Available on request
Expected Release: March 2026</code></pre>","30346","","","","","","","","","","","","","104.99","10.00","No","Unlimited","","Preorder, Release: March 2026","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/68d6a6c7ad50e42eaaa2008c/1760107956575-59KIHJMNQ7Y93TN0VVGS/GT546n.jpg"
"68e91db5c8d073245478c68d","38129df8-2551-4e88-97c7-916585bea64a","PHYSICAL","pre-order","audi-a6-c6-all-road-brilliant-black-2000-118","Audi A6 C6 All Road Brilliant Black 2000 OttO mobile 1:18 Resinemodell (Türen, Motorhaube... nicht zu öffnen!)","<pre><code>Trademark: OttO mobile
Brand: Audi
Model: A6 C6 All
Scale: 1:18
Car Model Code: 30730
Manufacturer Code: 30730
Colour: Brilliant Black
Material: Resin model (doors and hood do not open)
Year: 2000
EAN: Available on request
Expected Release: January 2026</code></pre>","30730","","","","","","","","","","","","","84.99","10.00","No","Unlimited","","Preorder, Release: January 2026","0.0","0.0","0.0","0.0","Yes",""
"68e91db683a31912dc28987d","35b24cc1-044d-4a3e-a6eb-953eb71a9993","PHYSICAL","pre-order","audi-rs-6-gt-grey-2024-30336","AUDI RS 6 GT GREY 2024 GT Spirit 1:18 Resinemodell (Türen, Motorhaube... nicht zu öffnen!)","<pre><code>Trademark: GT Spirit
Brand: AUDI
Model: RS 6
Scale: 1:18
Car Model Code: 30336
Manufacturer Code: 30336
Colour: GREY
Material: Resin model (doors and hood do not open)
Year: 2024
EAN: Available on request
Expected Release: March 2026</code></pre>","30336","","","","","","","","","","","","","104.99","10.00","No","Unlimited","","Preorder, Release: March 2026","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/68d6a6c7ad50e42eaaa2008c/1760107958993-WWD32CJ8X4Q8L4GF08J3/gt965n.jpg"
"68e91db7c8d073245478c690","5b350cca-8a29-477c-b29b-2f04967a2b54","PHYSICAL","pre-order","audi-sport-quattro-1985-tornado-red-118-30248","Audi Sport quattro 1985 Tornado Red  Norev 1:18 Metallmodell (Türen/Hauben nicht zu öffnen!)","<pre><code>Trademark: Norev
Brand: Audi
Model: Sport quattro
Scale: 1:18
Car Model Code: 30248
Manufacturer Code: 30248
Colour: Red
Material: Die-cast metal with plastic details
Year: 1985
EAN: Available on request
Expected Release: February 2026</code></pre>","30248","","","","","","","","","","","","","67.99","10.00","No","Unlimited","","Preorder, Release: February 2026","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/68d6a6c7ad50e42eaaa2008c/1760107960182-G8WW3RS1NUYBQQYPQM2L/188319.jpg"
"68e91db8f8ea5503718e8c8a","ae45ae6c-7931-4ffa-b85c-805126e7828e","PHYSICAL","pre-order","bmw-325i-convertible-bright-red-308-1986-118","BMW 325i Convertible Bright Red 308 1986 OttO mobile 1:18 Resinemodell (Türen, Motorhaube... nicht zu öffnen!)","<pre><code>Trademark: OttO mobile
Brand: BMW
Model: 325i Convertible Bright
Scale: 1:18
Car Model Code: 30725
Manufacturer Code: 30725
Colour: Bright Red
Material: Resin model (doors and hood do not open)
Year: 1986
EAN: Available on request
Expected Release: January 2026</code></pre>","30725","","","","","","","","","","","","","84.99","10.00","No","Unlimited","","Preorder, Release: January 2026","0.0","0.0","0.0","0.0","Yes",""
"68e91dbac8d073245478c692","af59328d-87b2-459c-9201-9c26206254a0","PHYSICAL","pre-order","bmw-507-1956-japanese-red-112-28902","BMW 507 1956 Japanese Red   Norev 1:12 Metallmodell (Türen/Hauben nicht zu öffnen!)","<pre><code>Trademark: Norev
Brand: BMW
Model: 507
Scale: 1:18
Car Model Code: 28902
Manufacturer Code: 28902
Colour: Red
Material: Die-cast metal with plastic details
Year: 1956
EAN: Available on request
Expected Release: February 2026</code></pre>","28902","","","","","","","","","","","","","67.99","10.00","No","Unlimited","","Preorder, Release: February 2026","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/68d6a6c7ad50e42eaaa2008c/1760107962506-ZJCD3KB6WP091BCT9OTA/123200nh.jpg"
